Full Name,Email,Phone Number,Internal ID,Role,Tags (comma separated names)
Atlante Philis,ke@test.com,578-241-7864,c8740da1-40a4-42b8-9e99-1241f4df6edb,Professor,Purple
Violet Kimberli,vinwa@test.com,641-937-3387,b872ab4a-1695-4c3c-9a17-89688eb2a9ba,Statistician I,Teal
Codi Gonroff,pinoj@test.com,594-331-9386,a2c5c1f0-cd17-4e10-82d4-0c4b0a0f12d1,Health Coach III,Maroon
Leisha Bal,refgo@test.com,734-242-0107,47a2e24e-24b1-412b-82bb-6f640ad4d8ac,Recruiting Manager,Teal
Aurilia Hanafee,iwebede@test.com,605-216-4559,b8a140a3-5315-4571-8209-87dc981e7083,Human Resources Assistant IV,Puce
Jamima Jemimah,jovihzi@test.com,243-649-9459,73e5b06e-a86d-41c4-a21b-58368046b3c4,Senior Sales Associate,Indigo
Tiffi Stanwinn,zulibol@test.com,785-806-3698,5783ad7a-1b6a-425c-8687-1fb46a5dca49,Marketing Manager,Aquamarine
Jessie Chandless,aco@test.com,329-907-7685,43222d7e-5cd0-4968-abea-4567fb36ecca,Financial Analyst,Green
Hillary Folly,kivmesif@test.com,830-854-3086,9d7b9adc-1753-414c-a3bc-42bd79616ff7,Automation Specialist I,Puce
Hanny Bolme,suzo@test.com,752-533-2057,5db670cb-6db9-4f43-b980-638064ed4c35,Chemical Engineer,Puce
Kiah Lynnworth,egwem@test.com,199-885-2230,ee4723d2-8f3d-49ae-bd1f-09c138bf4785,Biostatistician II,Puce
Felicity Torruella,vadfen@test.com,845-895-2707,6fd22186-fbcd-4983-b688-c384fa9e349a,Desktop Support Technician,Orange
Lia Kati,tah@test.com,185-709-1933,17cd1400-a539-4908-a702-754fd7368b42,Biostatistician IV,Crimson
Myrle Marcellina,ewpe@test.com,451-172-9026,d274255d-795a-479f-a337-4bbb49efbad5,Dental Hygienist,Crimson
Correna Stan,nuruz@test.com,791-979-9070,ea6bf4f4-d065-4819-9abb-50660dcd4d06,Actuary,Violet
Marge Kletter,ohaveahi@test.com,543-476-8102,6d9fd0c0-25d2-418c-a430-0c114c45b227,VP Sales,Red
Jana Faxan,guawte@test.com,724-689-4056,c3abe921-2c23-4d4a-8919-87fb0e6cd715,Associate Professor,Turquoise
Codi Princess,getci@test.com,875-175-2606,8351ba13-36b0-44a1-9139-8ce0b4bf35a0,Financial Analyst,Indigo
Lorrayne Isbella,al@test.com,554-150-5759,90f09573-e6fb-4c6a-8103-48f40c53dcf1,Budget/Accounting Analyst IV,Turquoise
Jilli Roos,ekiwuh@test.com,173-292-8102,95136e17-f326-45de-b613-ed61d2eb401d,Graphic Designer,Turquoise
Estrellita Vally,velaopi@test.com,392-970-5687,49f89671-64c2-4810-ab90-90d092013bd3,Director of Sales,Green
Vikky Xantha,levuh@test.com,779-214-7559,aa9d9fda-ff73-4bfb-beef-fd6fe8e17183,Desktop Support Technician,Puce
Celka Infeld,oliri@test.com,761-888-9721,ccd44579-28f0-4ef9-b307-ecd341cda683,Registered Nurse,Red
Shana Bramwell,ufgosa@test.com,832-979-2448,0bd011a3-993d-4882-be80-1fa66308878d,VP Quality Control,Purple
Channa Tartan,hinhizze@test.com,519-682-6364,37674493-f3b2-4612-b1e1-06788703ec12,Legal Assistant,Turquoise
Lynnelle Curran,pogge@test.com,969-489-6602,e84a3722-5395-496c-a1f5-a15a679f4b71,Quality Engineer,Crimson
Shanie Arlynne,giniko@test.com,410-424-4247,9096c6a5-a72e-4413-a703-579baa5fe1ff,Account Executive,Crimson
